val	probability
1	0.36663984348995304
2	0.10322878100747536
3	0.12606288350095168
4	0.06977457575942121
5	0.05466662493559248
6	0.04018990568424029
7	0.034768614611240756
8	0.03221105415878447
9	0.030767385086496356
10	0.027115161416039632
11	0.022816090646189245
12	0.01884791374557111
13	0.015347776366752148
14	0.012418204685369088
15	0.010074532810975954
16	0.008052665514480268
17	0.006382162489468587
18	0.005004480013319841
19	0.003894363902269538
20	0.003002872506206737
21	0.002297308801765991
22	0.0017380319634789983
23	0.0013015573887317467
24	0.0009642521289535346
25	0.0007074500972957628
26	0.0005141320315172519
27	0.00037011399637732053
28	0.0002636826550264507
29	0.00018580547137203636
30	0.0001293750731696211
31	8.8966647503617e-5
32	6.037771729742683e-5
33	4.041673630529783e-5
34	2.6664971908249374e-5
35	1.7328441964924088e-5
36	1.1085243885625304e-5
37	6.976994134976454e-6
38	4.317728001078336e-6
39	2.625404495053843e-6
40	1.5669803289752172e-6
41	9.170115834588806e-7
42	5.254969779290547e-7
43	2.944727409696403e-7
44	1.6111369386788094e-7
45	8.592172064390706e-8
46	4.457688820256263e-8
47	2.245044977088299e-8
48	1.0949482650249853e-8
49	5.157784564157592e-9
50	2.3395955720209193e-9
51	1.018487064896148e-9
52	4.237711689310958e-10
53	1.6770190943894645e-10
54	6.272943358632044e-11
55	2.200882887067367e-11
56	7.173428721438553e-12
57	2.145980474333103e-12
58	5.80012348065964e-13
59	1.3879930737189786e-13
60	2.8524931279582784e-14
61	4.81107648595261e-15
62	6.104312731303559e-16
63	4.798556521825048e-17
