6	1	40	5	19	3	194	32
8	1	45	8	17	4	173	44
6	5	42	9	25	7	158	48
5	3	40	21	26	10	150	45
14	6	52	26	23	9	120	50
22	10	58	27	27	11	96	49
15	10	55	24	26	22	102	46
25	8	42	38	33	23	92	39
37	14	49	35	37	26	59	43
30	16	41	39	49	26	56	43
34	24	42	30	36	37	61	36
37	27	37	31	40	33	51	44
33	30	31	38	39	38	43	48
42	31	43	28	35	33	46	42
34	31	48	40	40	36	38	33
41	41	39	41	38	28	38	34
39	38	46	35	36	28	43	35
52	37	38	33	36	27	36	41
46	44	36	37	31	38	32	36
39	37	44	49	38	35	30	28
43	42	40	41	26	48	33	27
44	44	39	30	34	31	33	45
39	48	35	48	32	31	37	30
42	36	35	40	41	40	25	41
43	41	40	50	34	30	31	31
32	47	30	40	36	37	35	43
37	40	36	35	48	41	34	29
38	38	37	31	43	34	38	41
33	31	45	43	42	26	33	47
36	39	34	40	35	30	39	47
29	36	35	52	35	41	33	39
25	46	38	45	32	34	36	44
33	46	39	50	26	32	37	37
45	36	31	54	34	32	29	39
39	40	33	44	34	38	35	37
36	43	33	40	35	34	29	50
29	42	40	31	33	49	31	45
44	40	30	41	29	41	30	45
39	32	32	43	32	42	29	51
30	39	35	41	35	39	33	48
32	37	37	43	37	37	41	36
54	41	22	35	30	35	43	40
39	28	42	31	39	38	45	38
32	33	43	34	32	48	43	35
37	32	39	46	42	38	33	33
23	34	49	33	32	46	43	40
40	38	28	42	38	35	28	51
36	41	33	38	34	39	27	52
33	52	31	31	37	38	43	35
37	41	27	27	45	44	43	36
33	49	31	33	30	44	43	37
41	37	31	37	46	31	34	43
33	28	40	36	48	37	40	38
35	26	35	36	40	47	46	35
43	26	40	38	37	37	50	29
38	40	43	27	41	29	40	42
45	40	36	24	50	42	36	27
42	36	35	35	45	40	36	31
41	34	41	37	44	39	33	31
29	42	36	36	41	40	38	38
30	43	31	40	42	38	46	30
33	36	32	47	54	31	34	33
33	36	50	35	44	34	32	36
30	41	46	40	36	31	32	44
37	40	34	45	29	39	33	43
38	44	31	47	32	25	39	44
36	36	37	45	27	48	36	35
38	37	38	35	32	46	39	35
39	38	42	29	43	37	32	40
38	34	38	37	40	35	40	38
41	38	48	26	39	38	41	29
42	31	38	32	40	42	40	35
40	30	33	38	47	40	36	36
52	36	37	32	27	41	42	33
32	40	44	32	40	52	26	34
42	33	39	39	38	30	41	38
42	32	34	36	38	43	48	27
44	39	27	36	42	29	40	43
34	34	37	43	42	31	44	35
41	28	38	30	38	38	49	38
34	31	27	38	54	40	40	36
37	36	46	32	37	34	43	35
41	33	39	32	44	34	35	42
42	31	45	36	28	39	46	33
41	34	40	38	36	38	41	32
38	37	32	43	32	37	48	33
35	44	41	40	37	37	27	39
49	42	38	35	30	37	37	32
33	42	42	47	32	31	37	36
47	39	46	30	35	39	30	34
41	37	39	41	29	36	41	36
47	38	23	45	37	36	36	38
31	43	47	46	42	37	25	29
47	38	36	31	32	45	36	35
38	33	42	35	30	42	35	45
40	40	38	35	29	32	37	49
35	37	38	37	40	40	41	32
33	38	41	38	40	35	36	39
35	41	34	40	44	37	31	38
41	41	41	35	33	29	39	41
