val	probability
0	0.01920361799593068
1	0.00017955264975472334
2	6.471111065282875e-5
3	0.0002176208016221614
4	0.0008555706513809322
5	0.0013869721669862282
6	0.002498116843866641
7	0.005088898333866549
8	0.004152274430639425
9	0.004032355175842847
10	0.0066487100268813265
11	0.011478401946411882
12	0.013135222168327541
13	0.01927095300284378
14	0.024500063549548277
15	0.029180985221260333
16	0.014918007027026035
17	0.013889610433201308
18	0.02016368854100063
19	0.027839837307450557
20	0.033327458716608506
21	0.04354236474745906
22	0.05155631599230487
23	0.05832690025509092
24	0.05705944704529207
25	0.0718702402838386
26	0.08472429054704078
27	0.09448920581314528
28	0.090005238473154
29	0.09041547305353421
30	0.06782585324034604
31	0.038152042447694656
