val	probability
0	0.20153408778109766
1	0.17160070724845114
2	0.06356536566962344
3	0.07035149669493626
4	0.060910830973484174
5	0.06144644970215517
6	0.05160484770575967
7	0.045420363738511056
8	0.04370825326626378
9	0.03976352046672386
10	0.03616579372450307
11	0.031716139131828365
12	0.027260972773292088
13	0.022685347075464896
14	0.018508158164567738
15	0.014614282662303543
16	0.011298306572144673
17	0.008569040850179531
18	0.006322122854723036
19	0.0045678010642342445
20	0.0031778566578667448
21	0.0021262028998746962
22	0.0013554094026218915
23	0.0008156082352592153
24	0.00046327037782977794
25	0.0002448305149712428
26	0.00012028248243445278
27	5.325425034798519e-5
28	2.066290358015992e-5
29	6.797007756631531e-6
30	1.6312818615915633e-6
31	3.058653490484178e-7
