val	probability
0	0.3784722222222224
1	0.060210302533436254
2	0.03691670575205147
3	0.053620500574387
4	0.06161498083484521
5	0.06168012644220906
6	0.05870754044651568
7	0.05449720579796712
8	0.04855220955774608
9	0.042068101725215815
10	0.035459244581598194
11	0.028907896523712426
12	0.022808443033416295
13	0.017484758611163727
14	0.012996078028097702
15	0.009325785985869445
16	0.006430507262084597
17	0.004239797776946571
18	0.002660618991516816
19	0.0015834544487236132
20	0.0008902809020600996
21	0.00047011249826492434
22	0.00023132286617476817
23	0.00010502996956247474
24	4.346499876238276e-5
25	1.6142713387049946e-5
26	5.276210761924965e-6
27	1.4783727616911002e-6
28	3.414806997170717e-7
29	6.094160198699851e-8
30	7.450580596923956e-9
31	4.656612873077405e-10
