val	probability
1	0.16666666666666674
2	0.013888888888888888
3	0.1257670058100474
4	0.027410077476151384
5	0.02445974870525175
6	0.016769647515803583
7	0.017827705734122498
8	0.014502107927111051
9	0.0229941459474646
10	0.022230986822100594
11	0.031048106755439536
12	0.03417611613750341
13	0.0329316144923963
14	0.03198761119397894
15	0.0366192983361814
16	0.025143032477360484
17	0.026352775471034862
18	0.026566893099014013
19	0.023594823733632884
20	0.023157706815160724
21	0.02260627887017057
22	0.02057476852718352
23	0.020599883865833373
24	0.019507832683288286
25	0.01789817034070147
26	0.016846057253672757
27	0.015612069160838012
28	0.013938055083263125
29	0.012969434620267688
30	0.011818385268371994
31	0.010647365177086547
32	0.009666407702413879
33	0.008726325721844471
34	0.007719552500825237
35	0.00695866649612311
36	0.00620414259315874
37	0.005464961786580934
38	0.004806736267375852
39	0.004179353276858582
40	0.0035535295216090152
41	0.003029284898172271
42	0.0025508555572431655
43	0.0021167137643155563
44	0.0017546846090059575
45	0.001434277389162284
46	0.001146954759517105
47	0.0009143611340040321
48	0.0007155946618473364
49	0.0005495329703297722
50	0.0004180137147603898
51	0.0003106420743724576
52	0.00022423866786836142
53	0.00015895981403929273
54	0.00010853145888039466
55	7.14073293725376e-5
56	4.5576149604135726e-5
57	2.7524087191826258e-5
58	1.5534651809069688e-5
59	8.261549804222794e-6
60	3.875615883974311e-6
61	1.5707025061224783e-6
62	5.405868479000064e-7
63	1.2713068491524583e-7
