val	probability
0	0.1833159422420547
1	0.15729411705449103
2	0.05015631512443998
3	0.05357435928637462
4	0.06341633811114915
5	0.06697128652980776
6	0.06865522134036761
7	0.05305391076470809
8	0.051104586096372466
9	0.04559207300504518
10	0.04011063202960434
11	0.034937669938480714
12	0.029467749838163217
13	0.02462192169248409
14	0.019964109439995232
15	0.015818644304198794
16	0.012236623679524085
17	0.009257570895748742
18	0.006824410674105301
19	0.0048716416486566825
20	0.0033603782243222906
21	0.002220124442718604
22	0.0014035054372259497
23	0.0008409705477707333
24	0.00047467393164880254
25	0.0002502272253082117
26	0.0001218426575633219
27	5.375677912411508e-5
28	2.066290358015992e-5
29	6.797007756631531e-6
30	1.6312818615915633e-6
31	3.058653490484178e-7
