val	probability
1	0.16666666666666674
2	0.02983234039853074
3	0.12748897153477923
4	0.027546295556104206
5	0.031233817078578776
6	0.023932597747694465
7	0.021866812179318348
8	0.019901680959664252
9	0.031272657727488135
10	0.028294374363204273
11	0.029839227561853948
12	0.03545432426328826
13	0.02477868342251729
14	0.02614687358746638
15	0.027199828899657493
16	0.021828089092352454
17	0.02388982694049564
18	0.02340919545740066
19	0.021090725727488876
20	0.020561482010569728
21	0.0196971961587447
22	0.01843132816506841
23	0.018298115128472747
24	0.017481483065549506
25	0.016351134870959242
26	0.015482236574852213
27	0.014365694733521048
28	0.013196301188356019
29	0.012268589673692624
30	0.011301881165623254
31	0.010255158128032326
32	0.009281588547956313
33	0.008346533622472764
34	0.0074093128991241574
35	0.006664791000548911
36	0.005954671372707751
37	0.005254742090735392
38	0.004636413864905012
39	0.004030034052667986
40	0.003451596464841174
41	0.002959876027720798
42	0.0025087331329191284
43	0.0021045009078394226
44	0.0017580721768651261
45	0.0014403593509733999
46	0.0011623277303023547
47	0.0009302466710091054
48	0.0007301208193789005
49	0.0005650586887138867
50	0.00043135867325925847
51	0.0003209689220783286
52	0.00023346934117297817
53	0.00016570219911635006
54	0.00011342255688608435
55	7.520849001124884e-5
56	4.7972015569624834e-5
57	2.8840157332064476e-5
58	1.6251597599115037e-5
59	8.406802487226193e-6
60	3.8135237947464958e-6
61	1.4818660763374695e-6
62	4.542063436783902e-7
63	8.01986004589702e-8
