0	0.405
1	0.39
2	0.41
3	0.395
4	0.45
5	0.45
6	0.425
7	0.445
8	0.39
9	0.46
10	0.41
11	0.43
12	0.5
13	0.475
14	0.505
15	0.5
16	0.525
17	0.48
18	0.515
19	0.525
20	0.575
21	0.465
22	0.575
23	0.575
24	0.47
25	0.585
26	0.525
27	0.495
28	0.52
29	0.545
30	0.475
31	0.485
32	0.625
33	0.57
34	0.575
35	0.56
36	0.61
37	0.52
38	0.635
39	0.56
40	0.545
41	0.53
42	0.59
43	0.59
44	0.62
45	0.625
46	0.595
47	0.59
48	0.57
49	0.52
50	0.545
51	0.6
52	0.63
53	0.65
54	0.595
55	0.62
56	0.625
57	0.6
58	0.63
59	0.635
60	0.61
61	0.555
62	0.625
63	0.62
64	0.645
65	0.675
66	0.65
67	0.63
68	0.625
69	0.64
70	0.64
71	0.635
72	0.61
73	0.635
74	0.615
75	0.67
76	0.68
77	0.62
78	0.615
79	0.685
80	0.68
81	0.675
82	0.68
83	0.66
84	0.59
85	0.64
86	0.625
87	0.645
88	0.675
89	0.655
90	0.675
91	0.67
92	0.66
93	0.68
94	0.675
95	0.635
96	0.695
97	0.66
98	0.69
99	0.645
100	0.69
101	0.68
102	0.62
103	0.72
104	0.685
105	0.705
106	0.69
107	0.635
108	0.68
109	0.71
110	0.665
111	0.695
112	0.68
113	0.735
114	0.665
115	0.66
116	0.65
117	0.645
118	0.74
119	0.68
120	0.685
121	0.705
122	0.71
123	0.65
124	0.785
125	0.675
126	0.705
127	0.735
128	0.68
129	0.745
130	0.675
131	0.69
132	0.725
133	0.72
134	0.7
135	0.675
136	0.66
137	0.72
138	0.665
139	0.68
140	0.73
141	0.685
142	0.7
143	0.63
144	0.735
145	0.75
146	0.675
147	0.715
148	0.73
149	0.75
150	0.71
151	0.735
152	0.75
153	0.76
154	0.735
155	0.745
156	0.665
157	0.765
158	0.78
159	0.705
160	0.785
161	0.75
162	0.755
163	0.775
164	0.745
165	0.8
166	0.74
167	0.74
168	0.71
169	0.735
170	0.745
171	0.715
172	0.77
173	0.75
174	0.75
175	0.785
176	0.8
177	0.81
178	0.72
179	0.71
180	0.77
181	0.76
182	0.73
183	0.78
184	0.75
185	0.795
186	0.79
187	0.735
188	0.8
189	0.76
190	0.78
191	0.755
192	0.755
193	0.785
194	0.83
195	0.725
196	0.78
197	0.78
198	0.82
199	0.82
200	0.795
201	0.805
202	0.795
203	0.785
204	0.825
205	0.76
206	0.82
207	0.78
208	0.825
209	0.825
210	0.76
211	0.82
212	0.75
213	0.845
214	0.845
215	0.81
216	0.765
217	0.785
218	0.77
219	0.8
220	0.775
221	0.795
222	0.83
223	0.84
224	0.79
225	0.785
226	0.795
227	0.8
228	0.81
229	0.835
230	0.84
231	0.815
232	0.805
233	0.815
234	0.8
235	0.855
236	0.825
237	0.805
238	0.79
239	0.76
240	0.82
241	0.78
242	0.775
243	0.815
244	0.785
245	0.775
246	0.74
247	0.75
248	0.81
249	0.805
250	0.785
251	0.81
252	0.81
253	0.83
254	0.825
255	0.795
256	0.81
257	0.835
258	0.86
259	0.855
260	0.805
261	0.78
262	0.795
263	0.835
264	0.83
265	0.775
266	0.87
267	0.82
268	0.87
269	0.825
270	0.87
271	0.8
272	0.865
273	0.84
274	0.84
275	0.785
276	0.84
277	0.8
278	0.845
279	0.85
280	0.85
281	0.83
282	0.83
283	0.835
284	0.86
285	0.83
286	0.83
287	0.9
288	0.88
289	0.89
290	0.89
291	0.83
292	0.86
293	0.825
294	0.835
295	0.865
296	0.845
297	0.86
298	0.875
299	0.92
300	0.865
301	0.87
302	0.855
303	0.845
304	0.855
305	0.895
306	0.86
307	0.905
308	0.845
309	0.91
310	0.86
311	0.925
312	0.92
313	0.92
314	0.875
315	0.895
316	0.875
317	0.88
318	0.895
319	0.885
320	0.85
321	0.905
322	0.915
323	0.89
324	0.91
325	0.88
326	0.9
327	0.9
328	0.895
329	0.91
330	0.9
331	0.94
332	0.895
333	0.905
334	0.925
335	0.92
336	0.91
337	0.93
338	0.89
339	0.915
340	0.93
341	0.925
342	0.92
343	0.905
344	0.965
345	0.91
346	0.915
347	0.915
348	0.9
349	0.93
350	0.93
351	0.94
352	0.945
353	0.925
354	0.94
355	0.96
356	0.97
357	0.93
358	0.935
359	0.935
360	0.935
361	0.92
362	0.93
363	0.96
364	0.95
365	0.94
366	0.985
367	0.96
368	0.975
369	0.98
370	0.955
371	0.94
372	0.945
373	0.945
374	0.985
375	0.955
376	0.96
377	0.935
378	0.985
379	0.95
380	0.95
381	0.985
382	0.975
383	0.94
384	0.97
385	0.96
386	0.925
387	0.97
388	0.945
389	0.97
390	0.965
391	0.95
392	0.97
393	0.97
394	0.96
395	0.97
396	0.985
397	0.975
398	0.965
399	0.96
400	0.965
401	0.99
402	0.965
403	0.98
404	0.965
405	0.96
406	0.955
407	0.975
408	0.99
409	0.975
410	0.97
411	0.975
412	0.96
413	0.98
414	0.975
415	0.955
416	0.975
417	0.98
418	0.98
419	0.955
420	0.99
421	0.975
422	0.95
423	0.975
424	0.975
425	0.98
426	0.965
427	0.97
428	0.99
429	0.97
430	0.975
431	0.99
432	0.975
433	0.98
434	0.965
435	0.98
436	0.99
437	0.995
438	0.975
439	0.96
440	0.98
441	0.995
442	0.99
443	0.98
444	1.0
445	0.97
446	0.995
447	0.975
448	0.99
449	0.975
450	0.98
451	0.97
452	0.985
453	0.98
454	0.975
455	0.975
456	0.985
457	0.975
458	0.99
459	0.995
460	0.99
461	0.985
462	0.99
463	0.985
464	0.975
465	0.98
466	0.995
